,,,,,,,,,,,,,,
数据模块,二级分类名称及排序,"数据模块（新）
二级页面分类，名称取-后面值",数据内容（一级）,数据内容（二级）,数据内容（三级）,数据内容（四级）,"数据来源：
①系统对接
②Excel导入/手动录入","数据更新频率
（年/季度/月/周）","实现优先级
（高、中、低）",首页指标标识（经营指标占2/3）,建议实现图形,对比结果,备注,第二轮修改情况
,人力7,非经营数据-人力,,各上市企业入职人员数量,/,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,集团离职人员数量,/,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,各版块离职人员数量,/,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,各上市企业离职人员数量,/,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,人员结构,政治面貌,党员占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,学历,博士研究生汇总人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,硕士研究生汇总人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,本科汇总人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,本科以下汇总人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,博士研究生占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,硕士研究生占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,本科占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,本科以下占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,年龄,35以下年龄段的人数占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,36--45年龄段的人数占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,46-50年龄段的人数占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,51-55年龄段的人数占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,56以上年龄段的人数占比,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,职级,本部班子成员人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,本部中层正职人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,本部中层副职人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,各版块板主企业企业负责人人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,各版块板主企业中层正职人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,,,各版块板主企业中层副职人数,,Excel导入/手动录入,月,中,,,,,
,人力7,非经营数据-人力,"产业人才结构
（需经营部提供口径）",/,/,,Excel导入/手动录入,季,高,,,,,
,人力7,非经营数据-人力,人力成本预算执行情况,集团汇总人力成本年度预算执行进度,/,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,集团汇总工资总额年度预算执行进度,/,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,各版块人力成本年度预算执行进度,/,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,各版块工资总额度预算执行进度,/,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,各版块工资总额管控执行进度,/,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,各版块年度人力成本管控执行进度,/,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,各版块人均工资,/,,Excel导入/手动录入,年,高,,,,,
,人力7,非经营数据-人力,,各版块人效比,/,,Excel导入/手动录入,年,高,,,,,
,人力7,非经营数据-人力,干部管理,集团中层干部基本情况,党员占比,,Excel导入/手动录入,季,高,首页-核心指标8,,,,
,人力7,非经营数据-人力,,,男性占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,女性占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,35以下年龄段的人数占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,36--45年龄段的人数占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,46-50年龄段的人数占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,51-55年龄段的人数占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,56以上年龄段的人数占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,博士研究生汇总人数,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,硕士研究生汇总人数,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,本科汇总人数,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,本科以下汇总人数,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,博士研究生占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,硕士研究生占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,本科占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,本科以下占比,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,职级分布,本部班子成员人数,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,本部中层正职人数,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,本部中层副职人数,,Excel导入/手动录入,季,中,,,,,
,人力7,非经营数据-人力,,,各版块板主企业企业负责人人数,,Excel导入/手动录入,季,高,,,,,
,人力7,非经营数据-人力,,,各版块板主企业中层正职人数,,Excel导入/手动录入,季,高,,,,,
,人力7,非经营数据-人力,,,各版块板主企业中层副职人数,,Excel导入/手动录入,季,高,,,,,
